Generation: 0 | Time: 08:55:22 | Top Loop Value: -6.65725086428 | Overall Top Value: -6.65725086428
Generation: 1000 | Time: 09:06:21 | Top Loop Value: -6.46084221776 | Overall Top Value: -6.46084221776
Generation: 2000 | Time: 09:17:19 | Top Loop Value: -6.22524456046 | Overall Top Value: -6.22524456046
Generation: 3000 | Time: 09:28:19 | Top Loop Value: -6.00606175823 | Overall Top Value: -6.00606175823
Generation: 4000 | Time: 09:39:20 | Top Loop Value: -5.8229300438 | Overall Top Value: -5.8229300438
Generation: 5000 | Time: 09:50:21 | Top Loop Value: -5.65328866139 | Overall Top Value: -5.65328866139
Generation: 6000 | Time: 10:01:21 | Top Loop Value: -5.50873244551 | Overall Top Value: -5.50873244551
Generation: 7000 | Time: 10:12:20 | Top Loop Value: -5.40254562287 | Overall Top Value: -5.40254562287
Generation: 8000 | Time: 10:23:19 | Top Loop Value: -5.31036109148 | Overall Top Value: -5.31036109148
Generation: 9000 | Time: 10:34:18 | Top Loop Value: -5.23318263096 | Overall Top Value: -5.23318263096
Generation: 10000 | Time: 10:45:17 | Top Loop Value: -5.15455989425 | Overall Top Value: -5.15455989425
Generation: 11000 | Time: 10:56:16 | Top Loop Value: -5.08208061122 | Overall Top Value: -5.08208061122
Generation: 12000 | Time: 11:07:15 | Top Loop Value: -4.99957681644 | Overall Top Value: -4.99957681644
Generation: 13000 | Time: 11:18:14 | Top Loop Value: -4.93510038052 | Overall Top Value: -4.93510038052
Generation: 14000 | Time: 11:29:13 | Top Loop Value: -4.88034636893 | Overall Top Value: -4.88034636893
Generation: 15000 | Time: 11:40:12 | Top Loop Value: -4.83309627752 | Overall Top Value: -4.83309627752
Generation: 16000 | Time: 11:51:11 | Top Loop Value: -4.78202108378 | Overall Top Value: -4.78202108378
Generation: 17000 | Time: 12:02:10 | Top Loop Value: -4.71868486475 | Overall Top Value: -4.71868486475
Generation: 18000 | Time: 12:13:09 | Top Loop Value: -4.67159642349 | Overall Top Value: -4.67159642349
Generation: 19000 | Time: 12:24:07 | Top Loop Value: -4.61771753774 | Overall Top Value: -4.61771753774
Generation: 20000 | Time: 12:35:05 | Top Loop Value: -4.56073628534 | Overall Top Value: -4.56073628534
Generation: 21000 | Time: 12:46:04 | Top Loop Value: -4.5322204542 | Overall Top Value: -4.5322204542
Generation: 22000 | Time: 12:57:02 | Top Loop Value: -4.48474598811 | Overall Top Value: -4.48474598811
Generation: 23000 | Time: 01:08:00 | Top Loop Value: -4.45613486295 | Overall Top Value: -4.45613486295
Generation: 24000 | Time: 01:18:59 | Top Loop Value: -4.42537522576 | Overall Top Value: -4.42537522576
Generation: 25000 | Time: 01:29:57 | Top Loop Value: -4.38012092745 | Overall Top Value: -4.38012092745
Generation: 26000 | Time: 01:40:56 | Top Loop Value: -4.36045480736 | Overall Top Value: -4.36045480736
Generation: 27000 | Time: 01:51:54 | Top Loop Value: -4.31730220681 | Overall Top Value: -4.31730220681
Generation: 28000 | Time: 02:02:53 | Top Loop Value: -4.27784693015 | Overall Top Value: -4.27784693015
Generation: 29000 | Time: 02:13:51 | Top Loop Value: -4.24253700453 | Overall Top Value: -4.24253700453
Generation: 30000 | Time: 02:24:49 | Top Loop Value: -4.22961681274 | Overall Top Value: -4.22961681274
Generation: 31000 | Time: 02:35:48 | Top Loop Value: -4.20276004525 | Overall Top Value: -4.20276004525
Generation: 32000 | Time: 02:46:46 | Top Loop Value: -4.16002948704 | Overall Top Value: -4.16002948704
Generation: 33000 | Time: 02:57:44 | Top Loop Value: -4.13722983561 | Overall Top Value: -4.13722983561
Generation: 34000 | Time: 03:08:43 | Top Loop Value: -4.12041047172 | Overall Top Value: -4.12041047172
Generation: 35000 | Time: 03:19:41 | Top Loop Value: -4.10194048782 | Overall Top Value: -4.10194048782
Generation: 36000 | Time: 03:30:39 | Top Loop Value: -4.07480236585 | Overall Top Value: -4.07480236585
Generation: 37000 | Time: 03:41:38 | Top Loop Value: -4.0396725454 | Overall Top Value: -4.0396725454
Generation: 38000 | Time: 03:52:36 | Top Loop Value: -4.00748328144 | Overall Top Value: -4.00748328144
Generation: 39000 | Time: 04:03:35 | Top Loop Value: -3.98430803384 | Overall Top Value: -3.98430803384
Generation: 40000 | Time: 04:14:34 | Top Loop Value: -3.96824369472 | Overall Top Value: -3.96824369472
Generation: 41000 | Time: 04:25:33 | Top Loop Value: -3.95191647734 | Overall Top Value: -3.95191647734
Generation: 42000 | Time: 04:36:31 | Top Loop Value: -3.9197150911 | Overall Top Value: -3.9197150911
Generation: 43000 | Time: 04:47:30 | Top Loop Value: -3.86915030084 | Overall Top Value: -3.86915030084
Generation: 44000 | Time: 04:58:28 | Top Loop Value: -3.85237726349 | Overall Top Value: -3.85237726349
Generation: 45000 | Time: 05:09:27 | Top Loop Value: -3.83465656568 | Overall Top Value: -3.83465656568
Generation: 46000 | Time: 05:20:25 | Top Loop Value: -3.8172401052 | Overall Top Value: -3.8172401052
Generation: 47000 | Time: 05:31:24 | Top Loop Value: -3.80127568557 | Overall Top Value: -3.80127568557
Generation: 48000 | Time: 05:42:23 | Top Loop Value: -3.77901307505 | Overall Top Value: -3.77901307505
Generation: 49000 | Time: 05:53:21 | Top Loop Value: -3.75486742538 | Overall Top Value: -3.75486742538
Generation: 50000 | Time: 06:04:20 | Top Loop Value: -3.73638051588 | Overall Top Value: -3.73638051588
Generation: 51000 | Time: 06:15:18 | Top Loop Value: -3.72511997722 | Overall Top Value: -3.72511997722
Generation: 52000 | Time: 06:26:17 | Top Loop Value: -3.7012101796 | Overall Top Value: -3.7012101796
Generation: 53000 | Time: 06:37:16 | Top Loop Value: -3.67784112399 | Overall Top Value: -3.67784112399
Generation: 54000 | Time: 06:48:14 | Top Loop Value: -3.66179537225 | Overall Top Value: -3.66179537225
